City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
272,bonnyville,54.2668,-110.735,274.77,86,100,2.0,CA,1679252431
273,jiaohe,43.7286,127.3447,274.51,47,6,1.54,CN,1679252510
274,kapaa,22.0752,-159.319,297.14,87,100,5.14,US,1679252511
275,atar,20.5169,-13.0499,308.18,24,0,2.06,MR,1679252515
276,goderich,43.7501,-81.7165,273.66,59,100,7.2,CA,1679252516
277,mayumba,-3.432,10.6554,298.98,86,100,1.35,GA,1679252516
278,sept-iles,50.2001,-66.3821,274.85,69,75,9.26,CA,1679252517
279,umm kaddadah,13.6017,26.6876,300.32,11,15,6.22,SD,1679252518
280,yar-sale,66.8333,70.8333,265.83,94,100,11.06,RU,1679252518
281,zhigansk,66.7697,123.3711,235.72,99,25,3.32,RU,1679252367
282,yalta,44.5,34.1667,281.14,88,9,0.78,UA,1679252520
283,saldanha,-33.0117,17.9442,292.18,84,0,6.64,ZA,1679252521
284,koppal,15.35,76.15,296.87,44,6,5.95,IN,1679252521
285,talnakh,69.4865,88.3972,245.21,97,100,5.04,RU,1679252522
286,skjervoy,70.0311,20.9714,271.15,62,100,7.63,NO,1679252523
287,norman wells,65.282,-126.8329,266.17,63,75,4.12,CA,1679252524
288,coahuayana,18.7333,-103.6833,304.96,28,0,3.89,MX,1679252524
289,bubaque,11.2833,-15.8333,297.93,78,7,7.36,GW,1679252525
290,beira,-19.8436,34.8389,297.2,94,0,2.06,MZ,1679252525
291,weligama,5.9667,80.4167,298.55,85,5,0.82,LK,1679252247
292,basoko,1.2391,23.616,295.4,82,100,0.87,CD,1679252526
293,rivadavia,-33.1905,-68.4608,297.19,54,95,5.07,AR,1679252474
294,ylojarvi,61.5563,23.5961,272.4,95,0,4.02,FI,1679252528
295,sisimiut,66.9395,-53.6735,270.59,83,100,0.76,GL,1679252528
296,locri,38.2414,16.2623,288.33,85,100,1.42,IT,1679252529
297,cidreira,-30.1811,-50.2056,298.79,69,100,4.19,BR,1679252499
298,lagunas,-5.2269,-75.6753,307.74,42,91,1.56,PE,1679252530
299,pochutla,15.7432,-96.4661,305.57,45,100,4.45,MX,1679252531
300,havoysund,70.9963,24.6622,273.28,93,100,2.61,NO,1679252531
301,moissac,44.1024,1.0945,285.08,82,92,3.46,FR,1679252532
302,jeremie,18.65,-74.1167,299.76,70,30,1.44,HT,1679252533
303,altamira,-3.2033,-52.2064,306.2,49,40,3.6,BR,1679252287
304,abalak,58.1286,68.5944,264.63,89,100,2.18,RU,1679252536
305,lagoa,39.05,-27.9833,287.31,78,0,12.28,PT,1679252537
306,kimbe,-5.5502,150.1429,297.14,93,91,1.2,PG,1679252538
307,mount isa,-20.7333,139.5,295.02,78,6,2.57,AU,1679252476
308,itoman,26.1247,127.6694,293.16,74,40,2.57,JP,1679252539
309,podyuga,61.095,40.8647,270.05,96,100,2.61,RU,1679252540
310,saint george,37.1041,-113.5841,286.72,35,40,3.6,US,1679252540
311,boden,65.8252,21.6886,266.15,98,100,1.39,SE,1679252541
312,oranjemund,-28.55,16.4333,290.43,90,1,3.31,NA,1679252542
313,buzmeyin,38.0507,58.2056,288.0,72,75,0.0,TM,1679252542
314,vao,-22.6667,167.4833,298.13,78,99,10.81,NC,1679252543
315,inirida,3.8653,-67.9239,309.1,35,33,0.8,CO,1679252445
316,anadyr,64.75,177.4833,264.43,85,75,2.68,RU,1679252544
317,channel-port aux basques,47.5702,-59.1367,273.05,82,28,11.79,CA,1679252431
318,kiknur,57.3034,47.2011,264.93,98,100,2.58,RU,1679252546
319,suntar,62.1444,117.6319,254.01,95,100,3.11,RU,1679252547
320,udachnyy,66.4167,112.4,235.34,100,100,2.23,RU,1679252547
321,sitka,57.0531,-135.33,276.09,93,100,0.0,US,1679252378
322,dali,25.7,100.1833,282.58,88,88,2.3,CN,1679252549
323,itaqui,-29.1253,-56.5531,308.53,35,23,2.72,BR,1679252550
324,ha giang,22.8333,104.9833,294.68,95,100,0.69,VN,1679252550
325,nago,26.5881,127.9761,292.62,75,73,2.96,JP,1679252551
326,port said,31.2565,32.2841,288.14,72,40,8.23,EG,1679252428
327,sosva,59.1766,61.8558,269.74,78,100,3.85,RU,1679252552
328,mandalgovi,45.7625,106.2708,271.06,44,5,2.99,MN,1679252552
329,malartic,48.1335,-78.1328,262.21,83,100,4.77,CA,1679252253
